ts_code,trade_date,volatility_ratio,deviation_5d,prev_return,momentum_7d,volume_momentum_7d,momentum_21d,volatility_21d,bias_10d,loss_ratio
512290.SH,2022-10-18,37.20840000000006,0.056385869565217406,0.013029315960912058,0.12477396021699816,-0.03164295695965735,0.06872852233676974,0.0289862137488934,0.09806690793538704,0.11963882618510158
512290.SH,2022-10-19,-113.04173913043523,0.01062064387653495,-0.020900321543408373,0.1225806451612903,0.10259050632223388,0.0619006102877071,0.029215085110297714,0.06171548117154789,0.8555304740406321
512290.SH,2022-10-20,17.646670588235317,-0.0006515719172502947,0.007389162561576512,0.14565826330532228,1.1566567850664318,0.07255244755244772,0.02919611018101559,0.058214747736093246,0.4966139954853273
512290.SH,2022-10-21,13.33339999999999,0.0011385816525699966,0.0032599837000815146,0.13981481481481484,0.06369322478442019,0.08172231985940259,0.029124249986881207,0.05034129692832759,0.35214446952595935
512290.SH,2022-10-24,-70.83379166666661,-0.021579205492888654,-0.02761982128350937,0.07450628366247747,0.15138300080745903,0.08325791855203635,0.02904728673746362,0.011663286004056824,0.8893905191873589
512290.SH,2022-10-25,-53.33299999999982,-0.029937148527952373,-0.020050125313283207,-0.0400981996726677,-0.6445349586430281,0.06539509536784749,0.029486500801409462,-0.01709401709401707,0.9006772009029346
512290.SH,2022-10-26,87.17946538461531,0.02240896358543408,0.05797101449275366,0.010586319218241158,-0.14520998434107835,0.13436928702010964,0.031679712167148474,0.02604381976023176,0.01805869074492099
512290.SH,2022-10-27,-18.750734374999986,0.01612637814711211,-0.00483481063658342,-0.007234726688102766,0.22233137657310542,0.16399622997172503,0.030681030502558347,0.010969220694171642,0.3340857787810384
512290.SH,2022-10-28,-36.58612195121958,0.005605011539729572,-0.012145748987854366,0.0016420361247948545,0.3399956917424707,0.1630123927550049,0.03070743723817303,-0.001146225642705148,0.9029345372460497
512290.SH,2022-10-31,-2.5009999999999977,0.001149802890932856,-0.0008196721311474198,-0.006519967400163029,-0.1366375842714086,0.16986564299424178,0.030597287503197627,-0.001229004506349903,0.23476297968397292
